city_id;A;B;C;D
accra;1.14;2.12;0.63;96.1
alexandria;0.0;2.61;0.01;97.38
algiers;0.0;4.25;0.34;95.42
amman;0.73;3.3;0.18;95.79
amsterdam;0.0;4.68;10.09;85.23
apia;1.7;2.63;0.49;95.18
auckland;9.85;3.39;18.2;68.56
baghdad;0.0;0.79;0.05;99.17
baku;0.02;3.71;1.84;94.43
bangkok;4.04;3.36;0.5;92.1
beijing;0.0;3.96;2.22;93.82
beirut;0.0;4.17;5.66;90.17
belgrade;18.33;3.64;20.66;57.38
berlin;38.03;1.57;31.97;28.43
bogota;4.96;6.23;18.04;70.77
boston;2.81;5.81;37.21;54.17
brisbane;0.09;5.33;26.63;67.94
brussels;36.6;2.33;47.17;13.9
bucharest;14.31;5.84;25.29;54.56
budapest;0.0;5.51;6.82;87.67
buenos aires;4.42;12.09;13.37;70.12
cairo;0.2;5.79;0.03;93.98
calgary;4.21;6.38;24.44;64.97
caracas;0.02;9.35;8.08;82.55
casablanca;0.7;8.94;4.52;85.84
chennai;0.03;0.84;0.62;98.51
chicago;1.55;9.08;65.06;24.31
city of cape town;1.64;2.47;10.91;84.98
ciudad de tunez;0.54;2.11;0.36;96.99
coimbra;8.26;0.82;11.36;79.56
colombo;0.32;9.58;5.65;84.45
dakar;0.52;0.97;0.38;98.12
dar es salaam;0.14;0.21;0.13;99.51
delhi;0.0;2.03;0.56;97.41
dhaka;0.0;0.71;0.1;99.19
distrito de panama;5.19;2.47;1.42;90.92
doha;0.0;17.43;1.13;81.44
dubai;9.78;10.77;3.39;76.06
dublin;6.31;4.37;16.01;73.31
fortaleza;2.78;3.67;12.47;81.07
guadalajara;3.6;9.14;4.05;83.22
hamburg;18.68;4.44;19.1;57.78
ho chi minh city;2.02;3.29;4.95;89.74
honiara;0.16;0.0;0.0;99.84
houston;3.26;13.31;5.68;77.75
istanbul;4.23;2.87;1.31;91.59
jakarta;6.56;3.79;1.55;88.09
kampala;0.15;0.37;0.11;99.36
karachi;0.09;2.97;0.1;96.84
kigali;0.01;0.0;0.04;99.95
kuala lumpur;22.86;7.74;3.09;66.31
kyiv;53.32;2.3;3.84;40.54
la paz;0.58;1.41;3.03;94.98
lagos;0.04;0.62;0.08;99.26
london;1.76;2.74;19.86;75.64
los angeles;0.5;16.23;15.96;67.32
lusaka;0.02;1.0;0.1;98.88
madrid;5.32;14.64;33.63;46.42
manila;4.72;18.11;5.52;71.65
medellin;5.27;4.46;9.54;80.73
melbourne;5.62;3.13;26.26;64.99
mexico city;6.86;7.58;1.93;83.63
miami;1.05;13.7;25.76;59.49
monterrey;4.17;9.33;0.65;85.85
montevideo;1.52;2.95;5.93;89.59
montreal;12.97;7.75;45.56;33.71
moscow;61.73;3.44;4.94;29.9
mumbai;0.23;4.71;1.39;93.68
municipio de sao paulo;8.77;4.96;5.36;80.92
nairobi;0.18;1.37;0.13;98.32
national capital district;1.96;0.11;0.01;97.92
new york;1.38;9.14;54.39;35.09
nukualofa;0.0;0.0;0.09;99.91
oslo;0.64;4.15;28.92;66.28
paris;14.26;8.32;68.91;8.5
perth;0.2;12.59;38.93;48.28
prague;9.61;2.3;21.62;66.47
provincia de lima;1.41;3.7;2.02;92.88
quito;3.33;2.8;3.46;90.41
reykjavik;0.65;3.85;46.22;49.29
riyadh governorate;0.62;3.39;0.48;95.5
rome;0.81;4.5;12.29;82.4
san francisco;5.72;8.99;46.66;38.63
san jose;0.04;1.59;0.45;97.92
santiago;1.46;24.09;26.39;48.06
shanghai;0.0;7.38;4.28;88.34
singapore;11.95;24.97;12.32;50.76
sofia;8.75;9.45;11.19;70.61
suva;1.53;8.01;0.76;89.69
sydney;3.29;5.05;28.07;63.59
tashkent;0.2;7.56;3.71;88.54
tehran;0.93;7.8;1.32;89.96
tokyo;6.26;1.48;10.67;81.59
toronto;0.82;17.27;38.37;43.54
vancouver;0.0;11.71;77.35;10.93
vienna;22.06;2.04;19.42;56.49
warsaw;28.32;2.83;26.06;42.79
wellington city;2.61;4.08;5.75;87.56
yangon;0.05;4.77;0.32;94.86
zurich;19.55;4.91;58.37;17.17
